Target,Postal Code,Latitude Dgr,Longitude Dgr
2362,74864,35.4872,-96.704
2363,73099,35.4904,-97.7642
2364,73127,35.4931,-97.6187
2365,27863,35.4932,-77.9815
2366,73107,35.4946,-97.5506
2367,73141,35.4956,-97.3693
2368,73020,35.496,-97.2794
2369,72949,35.5037,-93.8438
2370,72543,35.5074,-92.0321
2371,73099,35.5091,-97.7256
2372,73036,35.5111,-97.976
2373,72947,35.5115,-94.1118
2374,37354,35.5124,-84.36
2375,37160,35.5132,-86.4521
2376,28803,35.5134,-82.5236
2377,27577,35.5232,-78.3093
2378,73096,35.5236,-98.6906
2379,73096,35.524,-98.6908
2380,33709,35.5261,-82.9564
2381,73118,35.5264,-97.5397
2382,87301,35.5286,-108.769
2383,73132,35.538,-97.6211
2384,38019,35.5459,-89.6653
2385,38301,35.5513,-88.8108
2386,38462,35.5573,-87.5288
2387,28590,35.5592,-77.4044
2388,27889,35.5598,-77.0638
2389,73132,35.5625,-97.654
2390,73132,35.5641,-97.6535
2391,73120,35.565,-97.5476
2392,72956,35.5667,-94.367
2393,72031,35.5669,-92.4544
2394,27858,35.5673,-77.3579
2395,79065,35.5701,-100.9698
2396,28805,35.5772,-82.5163
2397,27834,35.5775,-77.3875
2398,28115,35.5778,-80.7915
2399,27858,35.5805,-77.306
2400,73162,35.5825,-97.64
2401,37874,35.5834,-84.4755
2402,38012,35.5867,-89.2382
2403,28117,35.5894,-80.8549
2404,27526,35.5946,-78.7811
2405,38401,35.599,-87.0513
2406,93280,35.6041,-119.3595
2407,73134,35.6052,-97.5459
2408,74447,35.6057,-95.9645
2409,93555,35.6065,-117.6696
2410,27834,35.6069,-77.4319
2411,93555,35.6071,-117.6733
2412,27529,35.608,-78.5554
2413,93446,35.6125,-120.6817
2414,37034,35.6155,-86.7001
2415,72112,35.6179,-91.2549
2416,87701,35.6196,-105.2275
2417,87507,35.6197,-106.0319
2418,27540,35.6367,-78.8346
2419,73013,35.6397,-97.5326
2420,73034,35.6401,-97.4293
2421,28752,35.6474,-82.0304
2422,28752,35.6479,-82.032
2423,87507,35.6524,-105.9998
2424,73034,35.654,-97.4635
2425,38351,35.6546,-88.4116
2426,79007,35.6548,-101.4117
2427,28144,35.6553,-80.4665
2428,79007,35.6605,-101.408
2429,27520,35.6618,-78.4975
2430,73003,35.6657,-97.5121
2431,73054,35.6662,-97.1897
2432,38305,35.6684,-88.8516
2433,28658,35.6807,-81.2307
2434,72472,35.6815,-90.5499
2435,73003,35.6833,-97.4449
2436,27203,35.6922,-79.7896
2437,37110,35.6988,-85.7883
2438,72370,35.7,-90.011
2439,72370,35.7001,-90.0125
2440,28602,35.7033,-81.2868
2441,28787,35.7034,-82.5795
2442,74834,35.7118,-96.8421
2443,37801,35.7148,-84.0127
2444,27502,35.715,-78.8428
2445,54452,35.7176,-78.6562
2446,28655,35.7177,-81.6955
2447,27893,35.7177,-77.9363
2448,27603,35.7191,-78.6594
2449,28602,35.7192,-81.3479
2450,28655,35.7272,-81.7051
2451,28613,35.7274,-81.211
2452,27344,35.7321,-79.4283
2453,27893,35.734,-77.9487
2454,27518,35.7368,-78.7828
2455,93215,35.744,-119.2481
2456,74079,35.7518,-96.6727
2457,27893,35.7523,-77.9293
2458,28601,35.7526,-81.2894
2459,28655,35.7528,-81.7177
2460,38063,35.7608,-89.5432
2461,72501,35.7627,-91.6143
2462,27603,35.7665,-78.5593
2463,37701,35.7713,-83.9918
2464,74401,35.7726,-95.3732
2465,37174,35.773,-86.9191
2466,37127,35.7753,-86.3999
2467,28630,35.7813,-81.3943
2468,27519,35.7864,-78.8695
2469,27292,35.7946,-80.2596
2470,27545,35.7958,-78.4911
2471,74960,35.7984,-94.6231
2472,27610,35.8009,-78.5602
2473,27513,35.8018,-78.7854
2474,72404,35.8029,-90.6988
2475,28625,35.8111,-80.8692
2476,37128,35.8142,-86.4472
2477,72404,35.816,-90.7344
2478,27560,35.8182,-78.845
2479,72401,35.819,-90.6853
2480,27317,35.8197,-79.823
2481,37771,35.8222,-84.2647
2482,72401,35.8254,-90.6716
2483,73750,35.8287,-97.9367
2484,37130,35.8314,-86.3463
2485,27597,35.8316,-78.297
2486,27892,35.8341,-77.0629
2487,27295,35.8343,-80.2759
2488,27609,35.8372,-78.6074
2489,37862,35.8384,-83.5741
2490,79029,35.84,-101.9708
2491,38343,35.8408,-88.9119
2492,74010,35.8438,-96.3948
2493,37129,35.8502,-86.4278
2494,73772,35.8519,-98.4185
2495,27298,35.8526,-79.5834
2496,27360,35.8556,-80.0654
2497,27517,35.8586,-79.0816
2498,28638,35.8591,-81.4833
2499,37862,35.8621,-83.5299
2500,27612,35.8624,-78.7071
2501,73044,35.8629,-97.4227
2502,37128,35.8671,-86.4647
2503,72560,35.8672,-92.1018
2504,27560,35.8674,-78.8462
2505,27616,35.8697,-78.565
2506,28777,35.8712,-82.0444
2507,38358,35.8762,-88.7479
2508,37129,35.8783,-86.3827
2509,37854,35.8798,-84.6575
2510,27886,35.8833,-77.5453
2511,74464,35.8888,-94.9798
2512,27263,35.8981,-79.946
2513,37934,35.9003,-84.1475
2514,28681,35.909,-81.176
2515,37920,35.9117,-83.8439
2516,27617,35.9122,-78.7778
2517,27263,35.9254,-79.989
2518,37923,35.9264,-84.0628
2519,27028,35.9275,-80.5877
2520,28645,35.9285,-81.5301
2521,38583,35.9291,-85.4898
2522,72315,35.9311,-89.8723
2523,37067,35.939,-86.8192
2524,37821,35.9438,-83.2122
2525,27265,35.9498,-80.0138
2526,27713,35.9502,-78.9257
2527,37919,35.9511,-83.9406
2528,27587,35.9525,-78.535
2529,37166,35.9548,-85.8297
2530,27707,35.955,-78.999
2531,74467,35.9567,-95.3975
2532,37167,35.9587,-86.5215
2533,37062,35.963,-87.14
2534,27107,35.9662,-80.2228
2535,27856,35.9698,-77.9339
2536,37167,35.971,-86.4958
2537,72753,35.9718,-94.3307
2538,37921,35.9763,-84.011
2539,27804,35.9781,-77.8123
2540,38555,35.9833,-85.0357
2541,74033,35.9838,-96.0142
2542,74066,35.9863,-96.1351
2543,74023,35.9874,-96.7212
2544,74011,35.9917,-95.8007
2545,27265,35.9944,-80.0283
2546,38344,35.9978,-88.4374
2547,74429,36.0017,-95.6773
2548,27406,36.0023,-79.7997
2549,74037,36.0032,-95.9783
2550,74133,36.0046,-95.8897
2551,37912,36.0054,-84.0269
2552,37830,36.0087,-84.2531
2553,89183,36.0146,-115.1526
2554,37086,36.0147,-86.5456
2555,87532,36.0154,-106.0676
2556,89178,36.0204,-115.2454
2557,27012,36.0209,-80.3799
2558,89123,36.023,-115.1241
2559,27127,36.0273,-80.2626
2560,74137,36.0276,-95.947
2561,27704,36.0282,-78.8437
2562,27265,36.0288,-79.9649
2563,72450,36.0302,-90.5232
2564,37924,36.0311,-83.8664
